ZipCode,StateName,City,CountyName
28273,North carolina,Charlotte,Mecklenburg
70435,Louisiana,Zcta 70435,St. Tammany Parish
71254,Louisiana,Lake providence,East Carroll Parish
28208,North carolina,Charlotte,Mecklenburg
70372,Louisiana,Labadieville,Assumption Parish
15034,Pennsylvania,Dravosburg,Allegheny
15017,Pennsylvania,Bridgeville,Allegheny
32258,Florida,Jacksonville,Duval
15147,Pennsylvania,Verona,Allegheny
85083,,,
89084,,,
71384,,,
85064,,,
88901,,,
28098,North carolina,Lowell,Gaston
89009,,,
70192,,,
44105,Ohio,Cleveland,Cuyahoga
39307,Mississippi,Meridian,Lauderdale
88031,,,
19401,Pennsylvania,Norristown,Montgomery
85285,,,
28282,,,
15949,Pennsylvania,Robinson,Indiana
71334,Louisiana,Frogmore,Concordia Parish
70569,,,
89105,,,
70761,Louisiana,Norwood,East Feliciana Parish
53701,,,
44319,Ohio,Akron,Summit
88905,,,
15250,,,
85275,,,
15277,,,
85076,,,
15091,,,
28281,,,
15678,Pennsylvania,Rillton,Westmoreland
44036,,,
15012,Pennsylvania,Rostraver,Westmoreland
15009,Pennsylvania,Beaver,Beaver
28658,North carolina,Newton,Catawba
12958,New york,Mooers,Clinton
41076,Kentucky,Newport,Campbell
19301,Pennsylvania,Paoli,Chester
27377,North carolina,Whitsett,Guilford
85122,,,
85286,,,
89108,Nevada,Las vegas,Clark
44070,Ohio,North olmsted,Cuyahoga
85271,,,
70193,,,
44017,Ohio,Berea,Cuyahoga
28207,North carolina,Charlotte,Mecklenburg
61853,Illinois,Mahomet,Champaign
89136,,,
44123,Ohio,Shore,Cuyahoga
28075,North carolina,Harrisburg,Cabarrus
44142,Ohio,Brookpark,Cuyahoga
89135,Nevada,Las vegas,Clark
15642,Pennsylvania,North huntingdon,Westmoreland
71636,,,
44095,Ohio,Willowick,Lake
53717,Wisconsin,Madison,Dane
85378,,,
15215,Pennsylvania,Aspinwall,Allegheny
44146,Ohio,Bedford,Cuyahoga
44138,Ohio,Olmsted falls,Cuyahoga
53774,,,
28054,North carolina,Gastonia,Gaston
15234,Pennsylvania,Castle shannon,Allegheny
85266,,,
44280,Ohio,Valley city,Medina
70197,,,
70184,,,
15143,Pennsylvania,Sewickley,Allegheny
28233,,,
44012,Ohio,Avon lake,Lorain
15243,Pennsylvania,Cedarhurst,Allegheny
44253,Ohio,Litchfield,Medina
53508,Wisconsin,Belleville,Dane
44132,Ohio,Noble,Cuyahoga
44234,Ohio,Hiram,Portage
15046,Pennsylvania,Glenwillard,Allegheny
85061,,,
73734,Oklahoma,Dover,Kingfisher
19362,Pennsylvania,Nottingham,Chester
28244,,,
30100,,,
85072,,,
02224,,,
85138,,,
28247,,,
28255,,,
71067,Louisiana,Princeton,Bossier Parish
53176,Wisconsin,Springfield,Walworth
48161,Michigan,Detroit beach,Monroe
28234,,,
72649,,,
27262,North carolina,High point,Guilford
84295,,,
28222,,,
85214,,,
78579,Texas,Progreso,Hidalgo
53213,Wisconsin,Wauwatosa,Milwaukee
15240,,,
85010,,,
07141,,,
61802,Illinois,Zcta 61802,Champaign
85001,,,
89012,Nevada,Henderson,Clark
89145,Nevada,Zcta 89145,Clark
44094,Ohio,Willoughby,Lake
44114,Ohio,Cleveland,Cuyahoga
15226,Pennsylvania,Brookline,Allegheny
89052,Nevada,Zcta 89052,Clark
15228,Pennsylvania,Mount lebanon,Allegheny
61821,Illinois,Champaign,Champaign
44125,Ohio,Garfield heights,Cuyahoga
44011,Ohio,Avon,Lorain
15289,,,
28212,North carolina,Charlotte,Mecklenburg
53589,Wisconsin,Stoughton,Dane
89133,,,
44122,Ohio,Beachwood,Cuyahoga
71032,Louisiana,Grand cane,De Soto Parish
28263,,,
61854,Illinois,Mansfield,Piatt
53713,Wisconsin,Fitchburg,Dane
44202,Ohio,Reminderville,Portage
44233,Ohio,Hinckley,Medina
53558,Wisconsin,Mc farland,Dane
15209,Pennsylvania,Millvale,Allegheny
85311,,,
89077,,,
89143,Nevada,Zcta 89143,Clark
85252,,,
89161,,,
71065,Louisiana,Pleasant hill,Sabine Parish
44178,,,
15055,Pennsylvania,Lawrence,Washington
89434,Nevada,Sparks,Washoe
89140,,,
70713,,,
89151,,,
53419,,,
27536,North carolina,Henderson,Vance
44320,Ohio,Akron,Summit
28101,North carolina,Mc adenville,Gaston
23554,,,
70134,,,
15035,Pennsylvania,East mc keesport,Allegheny
18447,Pennsylvania,Olyphant,Lackawanna
88113,New mexico,Causey,Roosevelt
15127,,,
85394,,,
28036,North carolina,Cornelius,Mecklenburg
53704,Wisconsin,Madison,Dane
89103,Nevada,Las vegas,Clark
28270,North carolina,Charlotte,Mecklenburg
70173,,,
15217,Pennsylvania,Squirrel hill,Allegheny
15238,Pennsylvania,Blawnox,Allegheny
28226,North carolina,Charlotte,Mecklenburg
15137,Pennsylvania,North versailles,Allegheny
70180,,,
44109,Ohio,Cleveland,Cuyahoga
70499,,,
89139,Nevada,Las vegas,Clark
15636,Pennsylvania,Harrison city,Westmoreland
85299,,,
15116,Pennsylvania,Glenshaw,Allegheny
85142,,,
77056,Texas,Houston,Harris
44062,Ohio,Middlefield,Geauga
28730,North carolina,Fairview,Buncombe
70199,,,
15261,,,
53885,,,
85327,,,
12200,,,
61849,Illinois,Homer,Champaign
35715,,,
09544,,,
85030,,,
85002,,,
05452,Vermont,Essex junction,Chittenden
15339,,,
15317,Pennsylvania,Mc murray,Washington
89122,Nevada,Las vegas,Clark
28031,North carolina,Cornelius,Mecklenburg
28105,North carolina,Stallings,Mecklenburg
89121,Nevada,Las vegas,Clark
89118,Nevada,Las vegas,Clark
89011,Nevada,Henderson,Clark
85370,,,
28277,North carolina,Charlotte,Mecklenburg
89130,Nevada,Las vegas,Clark
85383,,,
89169,,,
85387,,,
44134,Ohio,Parma,Cuyahoga
28081,North carolina,Kannapolis,Cabarrus
89134,Nevada,Las vegas,Clark
44102,Ohio,Cleveland,Cuyahoga
73728,Oklahoma,Cherokee,Alfalfa
70629,,,
15037,Pennsylvania,Elizabeth,Allegheny
15239,Pennsylvania,Plum,Allegheny
15003,Pennsylvania,Fairoaks,Beaver
15129,Pennsylvania,Library,Allegheny
44092,Ohio,Wickliffe,Lake
15085,Pennsylvania,Level green,Westmoreland
44104,Ohio,Cleveland,Cuyahoga
06632,,,
28288,,,
15204,Pennsylvania,Corliss,Allegheny
44195,,,
60686,,,
27278,North carolina,Hillsborough,Orange
28266,,,
53702,,,
85243,,,
87701,New mexico,Las vegas,San Miguel
8967,,,
28625,North carolina,Zcta 28625,Iredell
15064,Pennsylvania,Morgan,Allegheny
85261,,,
49808,Michigan,Big bay,Marquette
44237,,,
28253,,,
15088,Pennsylvania,West elizabeth,Allegheny
61844,Illinois,Fithian,Vermilion
22827,Virginia,Elkton,Rockingham
68451,,,
18922,,,
85395,,,
44308,Ohio,Akron,Summit
89117,Nevada,Las vegas,Clark
44223,Ohio,Cuyahoga falls,Summit
44139,Ohio,Solon,Cuyahoga
15222,Pennsylvania,Downtown,Allegheny
15108,Pennsylvania,Moon twp,Allegheny
89129,Nevada,Las vegas,Clark
89104,Nevada,Las vegas,Clark
89006,,,
28227,North carolina,Charlotte,Mecklenburg
15210,Pennsylvania,Mount oliver,Allegheny
71229,Louisiana,Collinston,Morehouse Parish
15208,Pennsylvania,Homewood,Allegheny
15237,Pennsylvania,Mc knight,Allegheny
15148,Pennsylvania,Wall,Allegheny
15219,Pennsylvania,Uptown,Allegheny
71034,Louisiana,Hall summit,Red River Parish
71332,,,
15104,Pennsylvania,Rankin,Allegheny
89156,Nevada,Zcta 89156,Clark
28173,North carolina,Weddington,Union
44147,Ohio,Broadview height,Cuyahoga
53718,Wisconsin,Madison,Dane
53528,Wisconsin,Cross plains,Dane
85073,,,
44024,Ohio,Chardon,Geauga
61877,Illinois,Sidney,Champaign
89166,,,
44052,Ohio,Lorain,Lorain
15131,Pennsylvania,White oak,Allegheny
15068,Pennsylvania,Arnold,Westmoreland
28107,North carolina,Midland,Cabarrus
44278,Ohio,Tallmadge,Summit
85244,,,
15132,Pennsylvania,Mc keesport,Allegheny
28070,,,
15045,Pennsylvania,Glassport,Allegheny
28501,North carolina,Kinston,Lenoir
28224,,,
89160,,,
15276,,,
71691,,,
89150,,,
85005,,,
28220,,,
30101,Georgia,Acworth,Cobb
75095,,,
71386,,,
28110,North carolina,Monroe,Union
54842,Wisconsin,Hawthorne,Douglas
89085,,,
89112,,,
15112,Pennsylvania,East pittsburgh,Allegheny
53965,Wisconsin,Wisconsin dells,Columbia
95308,,,
17744,Pennsylvania,Linden,Lycoming
70170,,,
86006,,,
7912,,,
21211,Maryland,Baltimore,Baltimore city
86445,,,
28720,,,
44221,Ohio,Cuyahoga falls,Summit
15090,Pennsylvania,Wexford,Allegheny
28134,North carolina,Pineville,Mecklenburg
61801,Illinois,Urbana,Champaign
53719,Wisconsin,Madison,Dane
28262,North carolina,Charlotte,Mecklenburg
44140,Ohio,Bay village,Cuyahoga
15205,Pennsylvania,Crafton,Allegheny
28217,North carolina,Charlotte,Mecklenburg
15122,Pennsylvania,W mifflin fin,Allegheny
85297,,,
44126,Ohio,Fairview park,Cuyahoga
85392,,,
15211,Pennsylvania,Mount washington,Allegheny
44224,Ohio,Stow,Summit
44077,Ohio,Fairport harbor,Lake
44149,,,
70174,,,
71634,,,
70188,,,
53597,Wisconsin,Waunakee,Dane
44021,Ohio,Burton,Geauga
15139,Pennsylvania,Oakmont,Allegheny
15218,Pennsylvania,Swissvale,Allegheny
89124,Nevada,Las vegas,Clark
44039,Ohio,North ridgeville,Lorain
70563,Louisiana,Zcta 70563,Iberia Parish
85280,,,
29710,South carolina,Lake wylie,York
61859,Illinois,Ogden,Champaign
44101,,,
44110,Ohio,Cleveland,Cuyahoga
28246,,,
45069,Ohio,West chester,Butler
85058,,,
05440,Vermont,Alburg,Grand Isle
85070,,,
85095,,,
85069,,,
28219,,,
85046,,,
71409,Louisiana,Boyce,Rapides Parish
53518,Wisconsin,Blue river,Richland
89127,,,
73773,Oklahoma,Waukomis,Garfield
61871,Illinois,Royal,Champaign
85026,,,
28016,North carolina,Bessemer city,Gaston
70567,,,
28027,North carolina,Concord,Cabarrus
70178,,,
89183,,,
28120,North carolina,Mount holly,Gaston
89106,Nevada,Las vegas,Clark
89005,Nevada,Boulder city,Clark
15668,Pennsylvania,Murrysville,Westmoreland
15145,Pennsylvania,Turtle creek,Allegheny
70195,,,
53706,Wisconsin,Madison,Dane
73732,,,
71063,Louisiana,Pelican,De Soto Parish
15142,Pennsylvania,Presto,Allegheny
89004,Nevada,Blue diamond,Clark
85277,,,
78409,Texas,Corpus christi,Nueces
1530,,,
28223,North carolina,Charlotte,Mecklenburg
28285,,,
15018,Pennsylvania,Buena vista,Allegheny
1511,,,
46501,Indiana,Argos,Marshall
85078,,,
89116,,,
15015,Pennsylvania,Bradfordwoods,Allegheny
28037,North carolina,Denver,Lincoln
85068,,,
29732,South carolina,Rock hill,York
85380,,,
282010,,,
891118,,,
89180,,,
53783,,,
28231,,,
06618,,,
23231,Virginia,Richmond,Henrico
98145,,,
15105,,,
15282,,,
89074,,,
53705,Wisconsin,Madison,Dane
28203,North carolina,Charlotte,Mecklenburg
28213,North carolina,Charlotte,Mecklenburg
28206,North carolina,Charlotte,Mecklenburg
28056,North carolina,Gastonia,Gaston
89081,,,
70599,,,
61874,Illinois,Savoy,Champaign
89149,Nevada,Zcta 89149,Clark
89178,,,
28025,North carolina,Concord,Cabarrus
70378,,,
44256,Ohio,Medina,Medina
61822,Illinois,Champaign,Champaign
89131,Nevada,Las vegas,Clark
70736,Louisiana,Glynn,Pointe Coupee Parish
53575,Wisconsin,Oregon,Dane
53562,Wisconsin,Middleton,Dane
15212,Pennsylvania,Allegheny,Allegheny
15101,Pennsylvania,Allison park,Allegheny
73760,Oklahoma,Meno,Major
19464,Pennsylvania,Sanatoga,Montgomery
85143,,,
15123,,,
44210,,,
12923,New york,Churubusco,Clinton
70376,,,
70176,,,
61824,,,
85038,,,
44242,,,
28034,North carolina,Dallas,Gaston
85318,,,
70825,,,
89019,Nevada,Goodsprings,Clark
16051,Pennsylvania,Portersville,Butler
28299,,,
15272,,,
89018,Nevada,Indian springs,Clark
88454,,,
15076,Pennsylvania,Russellton,Allegheny
